tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
4.39920067237e-005 2.61463782477e-005 -384.58311196 -7160975956.97 5251.42952243 2564301.43918 762363473731 191530316231 38083112048.5 340879048581 276592510951 1.03462965529e+012 0 0 0 0 0 0 0 0 0 0 0 6365972.3996 4331858.43679 
4.39924298366e-005 2.5983009981e-005 -387.648219683 -7313028671.32 5260.45116191 2614744.67693 753333965109 198092612396 41277616927.8 333558199289 287988187364 1.02700269065e+012 0 0 0 0 0 0 0 0 0 0 0 6633607.08294 4857442.23143 
4.39928546429e-005 2.58176693135e-005 -390.79156425 -7471019497.84 5269.19040639 2667055.76117 744243452064 204694581787 44685490288.3 326059919976 299584349299 1.01925836668e+012 0 0 0 0 0 0 0 0 0 0 0 6903145.9299 5438590.35294 
4.3993281396e-005 2.56502117929e-005 -394.018220437 -7635374996.47 5277.66265163 2721379.60323 735120010812 211329183397 48312905673.5 318398903320 311358979865 1.01137821602e+012 0 0 0 0 0 0 0 0 0 0 0 7173667.67124 6079575.17001 
4.39937102999e-005 2.54805075757e-005 -397.333224823 -7806539990.87 5285.88387841 2777868.57468 725994560863 217989614103 52164583373.9 310593104156 323285845017 1.00334384049e+012 0 0 0 0 0 0 0 0 0 0 0 7444134.35747 6784571.53955 
4.39941414881e-005 2.53084501441e-005 -400.74139886 -7984969484.62 5293.87046558 2836680.07234 716901086877 224669273137 56243315603.2 302664235001 335333869755 995137420087 0 0 0 0 0 0 0 0 0 0 0 7713382.03343 7557494.98334 
4.39945750001e-005 2.51339669712e-005 -404.247116897 -8171116949.77 5301.63894823 2897972.89496 707876800639 231361696634 60549409269.3 294638263529 347466521798 986742369052 0 0 0 0 0 0 0 0 0 0 0 7980114.04087 8401792.28104 
4.39950107544e-005 2.49570317761e-005 -407.854020501 -8365418617.04 5309.20572368 2961902.30581 698962170741 238060472980 65080065982.5 286545846116 359641292839 978144139060 0 0 0 0 0 0 0 0 0 0 0 8242899.56654 9320183.09435 
4.39954485224e-005 2.47776773752e-005 -411.564693698 -8568274037.37 5316.58672084 3028613.86931 690200719668 244759163419 69828747396.7 278422594533 371809416727 969331137440 0 0 0 0 0 0 0 0 0 0 0 8500180.97484 10314359.7994 
4.39958879063e-005 2.45960076227e-005 -415.380326451 -8780024099.65 5323.79705306 3098236.38457 681638483836 251451256839 74784602792 270309051129 383915989310 960295695789 0 0 0 0 0 0 0 0 0 0 0 8750293.60897 11384664.1458 
4.39963283258e-005 2.44122063624e-005 -419.300409675 -9000928503.58 5330.85068542 3170874.57748 673323046588 258130192118 79932065112.6 262250239949 395900661092 951034981833 0 0 0 0 0 0 0 0 0 0 0 8991501.19733 12529773.7066 
4.39967690186e-005 2.42265411797e-005 -423.322513956 -9231145709.31 5337.76014869 3246602.48074 665302110851 264789471787 85250732742.6 254294694168 407699023538 941551719916 0 0 0 0 0 0 0 0 0 0 0 9222048.00896 13746443.4452 
