t	h	T	H2	H	O	O2	OH	H2O	H2O2	H02	masa
3.78249099e-007	1e-011	300	41014855.48	261762470.5	3054074.702	103228650.2	124768339.6	74153646.56	487.2913338	56.64599908	1.375451359
3.793749547e-007	1e-011	300	40853684.23	262652490.8	3062766.544	103244876.5	125253726.7	75530137.06	488.0538406	56.79815579	1.382040528
3.80505915e-007	1e-011	300	40691772.62	263546853.5	3071511.47	103261162.8	125741629.2	76921599.91	488.81817	56.95075636	1.388690848
3.816419642e-007	1e-011	300	40529122.85	264445548.6	3080309.523	103277508.8	126232043	78328154.49	489.5842973	57.10379543	1.395402714
3.827830866e-007	1e-011	300	40365737.09	265348566.2	3089160.745	103293913.9	126724964	79749921.28	490.3521983	57.25726773	1.402176528
3.83929267e-007	1e-011	300	40201617.42	266255896.6	3098065.182	103310378	127220388.2	81187021.84	491.1218491	57.41116802	1.409012693
3.850804909e-007	1e-011	300	40036765.9	267167530.7	3107022.883	103326900.5	127718311.8	82639578.83	491.8932263	57.56549114	1.41591162
3.862367437e-007	1e-011	300	39871184.52	268083459.2	3116033.899	103343481.2	128218731.1	84107716	492.6663068	57.72023197	1.422873721
3.873980114e-007	1e-011	300	39704875.22	269003673.5	3125098.283	103360119.6	128721642.6	85591558.22	493.4410679	57.87538547	1.429899414
3.885642804e-007	1e-011	300	39537839.9	269928165	3134216.091	103376815.4	129227042.8	87091231.41	494.2174875	58.03094663	1.43698912
3.897355373e-007	1e-011	300	39370080.4	270856925.4	3143387.382	103393568.2	129734928.3	88606862.61	494.9955434	58.18691052	1.444143267
3.90911769e-007	1e-011	300	39201598.52	271789946.5	3152612.214	103410377.7	130245296	90138579.95	495.7752143	58.34327223	1.451362284
3.920929629e-007	1e-011	300	39032396.03	272727220.5	3161890.652	103427243.6	130758142.8	91686512.67	496.5564789	58.50002694	1.458646606
3.932791065e-007	1e-011	300	38862474.63	273668739.7	3171222.759	103444165.5	131273465.6	93250791.06	497.3393163	58.65716985	1.465996671
3.944701878e-007	1e-011	300	38691835.99	274614496.8	3180608.603	103461143.1	131791261.6	94831546.57	498.1237061	58.81469621	1.473412923
3.95666195e-007	1e-011	300	38520481.75	275564484.5	3190048.251	103478176	132311528	96428911.7	498.9096279	58.97260134	1.480895808
3.968671165e-007	1e-011	300	38348413.5	276518695.7	3199541.775	103495263.9	132834262.1	98043020.06	499.697062	59.13088059	1.488445778
3.980729411e-007	1e-011	300	38175632.77	277477123.7	3209089.247	103512406.5	133359461.4	99674006.39	500.4859888	59.28952935	1.496063289
